,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
97,怎样用女儿挽回老相好70,text,Anna-图兰朵,https://anna-tulanduo.lofter.com/post/1f61c809_2b5b91f97,https://anna-tulanduo.lofter.com/,2022-06-19,64,67,71,71,72,73,74,97,3,4,0,1,1,1,10
98,None,img,shadow.⃒⃘⃤丧.,https://shadowxiqian.lofter.com/post/7450545a_2b5c44c20,https://shadowxiqian.lofter.com/,2022-06-19,4,4,4,4,4,4,4,98,0,0,0,0,0,0,0
99,血盟突然变成人该怎么办【2】,text,肥牛卷适合涮火锅,https://deyunshededabaobei54915.lofter.com/post/313987a3_2b5c46a3d,https://deyunshededabaobei54915.lofter.com/,2022-06-19,18,19,19,22,30,40,43,99,1,0,3,8,10,3,25
100,为什么GGAD目前没有出现多少广播剧呢,text,罗莎琳德小姐   ⃒⃘⃤,https://rosalind1899.lofter.com/post/4c6bb6eb_2b5c4567f,https://rosalind1899.lofter.com/,2022-06-19,12,15,15,16,17,17,17,100,3,0,1,1,0,0,5
101,【HP论坛体】深夜八卦区①,text,Senyu_Riddle,https://senyuriddle.lofter.com/post/74e8962a_2b5c4606f,https://senyuriddle.lofter.com/,2022-06-19,17,19,20,21,25,26,26,101,2,1,1,4,1,0,9
102,《圣芒戈日记》「GGAD’s Anatomy」3,text,红笔掉了,https://hongbidiaole.lofter.com/post/4c40725b_2b5c43416,https://hongbidiaole.lofter.com/,2022-06-19,24,28,34,34,34,36,38,102,4,6,0,0,2,2,14
103,【GGAD】无尽夏（09）,text,狐安衾,https://anastaciablack.lofter.com/post/1d1e0d4b_2b5c460ef,https://anastaciablack.lofter.com/,2022-06-19,36,41,41,46,50,50,55,103,5,0,5,4,0,5,19
104,None,img,糸木但,https://mimudan.lofter.com/post/1eecde04_2b5c43681,https://mimudan.lofter.com/,2022-06-19,4,4,4,4,4,4,4,104,0,0,0,0,0,0,0
105,第二十四章,text,如有诗云,https://hodeimalfoy.lofter.com/post/741748b7_2b5c418cf,https://hodeimalfoy.lofter.com/,2022-06-19,12,14,18,20,20,23,23,105,2,4,2,0,3,0,11
106,全世界最饿的斯莱特林 43,text,茜茜子,https://qianqianzi023.lofter.com/post/20361630_2b5c43667,https://qianqianzi023.lofter.com/,2022-06-19,73,83,86,89,98,101,103,106,10,3,3,9,3,2,30
107,None,img,柠檬雪宝喂大的🦉 ⃒⃘⃤,https://obliviate58011.lofter.com/post/73cf5383_2b5c46fc2,https://obliviate58011.lofter.com/,2022-06-19,126,178,209,240,285,313,333,107,52,31,31,45,28,20,207
108,None,img,高跟鞋骑士,https://bailuwenjiu.lofter.com/post/1f090641_2b5c42016,https://bailuwenjiu.lofter.com/,2022-06-19,787,1286,1897,2694,3809,4845,5489,108,499,611,797,1115,1036,644,4702
109,找文,text,司业,https://siye1238.lofter.com/post/1f8fc565_2b5c454b9,https://siye1238.lofter.com/,2022-06-19,2,2,2,2,2,2,2,109,0,0,0,0,0,0,0
110,阿利安娜同人文预告,text,writing.,https://writing64027.lofter.com/post/74d00dc6_2b5c42041,https://writing64027.lofter.com/,2022-06-19,3,6,10,10,10,10,10,110,3,4,0,0,0,0,7
111,None,img,hy,https://toutuxiaojianqiang.lofter.com/post/1fd23357_2b5c463f9,https://toutuxiaojianqiang.lofter.com/,2022-06-19,92,103,110,118,133,147,150,111,11,7,8,15,14,3,58
112,哈利.格林德沃(29),text,Draco.Malfoy:⃒⃘⃤,https://harrymalfoy79611.lofter.com/post/7425a4a3_2b5c3e7ac,https://harrymalfoy79611.lofter.com/,2022-06-19,39,45,47,48,48,50,52,112,6,2,1,0,2,2,13
113,None,img,puli,https://buyuantouluxingmingdeadzuixihuandexuesheng.lofter.com/post/74d0e503_2b5c438e4,https://buyuantouluxingmingdeadzuixihuandexuesheng.lofter.com/,2022-06-19,11,12,13,13,13,13,13,113,1,1,0,0,0,0,2
114,【授翻】GGAD之有问必答（9/9）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c41efb,https://moinmoin150.lofter.com/,2022-06-19,39,39,40,41,41,42,42,114,0,1,1,0,1,0,3
115,霍格沃茨的学生们再次要求换一个黑魔法防御课老师,text,一,https://yi89667498.lofter.com/post/74a886a4_2b5c35660,https://yi89667498.lofter.com/,2022-06-19,32,41,47,49,55,59,62,115,9,6,2,6,4,3,30
116,None,img,Post‐Trauma,https://haitang873.lofter.com/post/2042266a_2b5c41306,https://haitang873.lofter.com/,2022-06-19,52,53,59,65,69,69,73,116,1,6,6,4,0,4,21
117,None,img,庬大侠,https://pangdaxia756.lofter.com/post/1fc72ab9_2b5c40a8d,https://pangdaxia756.lofter.com/,2022-06-19,19,21,21,21,21,21,21,117,2,0,0,0,0,0,2
118,None,img,路过的阿甲,https://xiangzheyibaiqianjinqianjin.lofter.com/post/1cfc785b_2b5c3af89,https://xiangzheyibaiqianjinqianjin.lofter.com/,2022-06-19,29,31,36,36,36,36,38,118,2,5,0,0,0,2,9
119,None,img,拉文克劳大冤种,https://lawenkelaodechihuo.lofter.com/post/74b23994_2b5c39c59,https://lawenkelaodechihuo.lofter.com/,2022-06-19,3,3,3,3,3,3,3,119,0,0,0,0,0,0,0
120,不速之客（上）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c3dfc9,https://moinmoin150.lofter.com/,2022-06-19,80,87,89,98,102,106,108,120,7,2,9,4,4,2,28
